,NU00295.csv,NU00429.csv,NU00431.csv,NU00468.csv,NU00759.csv,NU00826.csv,NU00866.csv,NU00908.csv,NU01094.csv,NU01115.csv,NU01405.csv,NU01420.csv,NU01482.csv,NU01713.csv,NU01798.csv,NU01929.csv,NU02064.csv,NU02359.csv,NU02514.csv,NU02738.csv
GFAP+pSTAT3+,8.840655951819468,4.2549882965315176,0.5907337159160911,3.235124857539409,0.37432566332709455,7.1761334467354745,0.8261506489966954,4.148695141394646,2.4280929227444625,1.8580723851491916,0.40342692838071764,4.627141116605748,3.9789645295323064,3.1165263095024787,0.44133019355579806,7.525716440749234,10.494179986685586,6.46612908097007,0.4997909241154098,0.9742085636912642
GFAP+PD1+,0.024489351667089942,0.00736581932463621,0.025937814090717503,0.05416323444781711,0.014679437777533121,0.0793048755258258,0.055360610499778556,0.013426197868591087,0.036736898973527825,0.0,0.011736056098348149,0.21500752526338424,0.018114506323094862,0.08122797587051304,0.014703348457871461,0.05158460091291739,0.05043339093947321,0.28615867838482684,0.025885585711156688,0.014708299807061714
GFAP+TIM3+,17.092660450604072,2.0517898940958865,8.040073922770159,4.393992394579163,5.50478916657492,14.686726585905951,11.139406534255443,5.194260300411177,6.508914100486224,16.67937185546577,5.30323034944107,19.80667240020067,4.0033058974039655,4.34330765095861,0.8270633507552697,5.645262669654817,7.347136392062456,23.81081815710791,2.467095438163318,3.356953132435262
CD4+Ki67+,0.007256104197656278,0.021279033604504605,0.3806374217812794,0.0,0.014679437777533121,0.10918787210077467,0.062174224099751305,0.010069648401443317,0.28092922744462456,0.031476080637784086,0.004401021036880556,0.028667670035117894,0.0033964699355802873,0.07764438869975512,0.01286542990063753,0.03727962755051172,0.034967151051368085,1.4481592220108122,0.09955994504291032,0.018169076232252706
CD4+pSTAT3+,0.04625766426005877,0.05756251398141631,0.07911033297668839,0.004513602870651426,0.06605746999889904,0.32411557823598375,0.047695295199809216,0.011747923135017203,0.8146947595894112,0.11065809599220967,0.004401021036880556,0.07883609259657422,0.009057253161547431,0.05614286567520754,0.01194647062202056,0.1421827655414866,0.04505382923926273,1.8656941801818125,0.02389438681029848,0.02509062908263469
CD4+cCasp3+,0.048978703334179884,0.060563403335897735,0.07262587945400902,0.006770404305977138,0.10642592388711512,0.29078454359469463,0.04002997989983988,0.011747923135017203,0.5856293895191789,0.11311716479203657,0.004401021036880556,0.04389736974127428,0.009057253161547431,0.17917935853789643,0.01309516972029177,0.08691355027764652,0.025552918075999756,0.8290296276162,0.06770076262917903,0.06488955797233109
CD4+FOXP3+,0.0018140260494140695,0.007638627447770884,0.05900852705638233,0.0,0.0,0.0655127232604648,0.054508908799781965,0.0067130989342955435,0.1041599135602377,0.0004918137599653763,0.0,0.07166917508779473,0.005660783225967144,0.16365048079794542,0.004594796393084831,0.028609946724811326,0.013448904250526188,0.10268490833861858,0.01194719340514924,0.0017303882125954957
CD4+NFAT1+,0.003628052098828139,0.001091232492538698,0.006484453522679376,0.009027205741302852,0.0366985944438328,0.004214268747749197,0.004258508499982966,0.0016782747335738859,0.008211777417612101,0.001475441279896129,0.0,0.0017917293771948684,0.0,0.0023890581138386194,0.0013784389179254495,0.0021674202064251007,0.0026897808501052376,0.012835613542327323,0.0,0.0025955823188932438
CD4+NFAT2+,0.0,0.0008184243694040233,0.009078234931751127,0.003385202152988569,0.0,0.0,0.0,0.0033565494671477718,0.007347379794705565,0.0,0.0,0.0017917293771948684,0.0005660783225967144,0.0023890581138386194,0.0,0.0036846143509226704,0.0006724452125263094,0.0015100721814502733,0.0,0.0
CD4+pLCK+,0.0018140260494140695,0.004092121847020117,0.017508024511234316,0.0011284007176628565,0.05504789166574921,0.025668727827199655,0.003406806799986373,0.05873961567508601,0.07217720151269584,0.006393578879549892,0.004401021036880556,0.004479323442987171,0.002830391612983572,0.0,0.0050542760323933145,0.025358816415173676,0.05984762391484154,1.398326840022953,0.01194719340514924,0.0008651941062977478
CD4+NFAT1+pLCK+,0.0018140260494140695,0.001091232492538698,0.0051875628181435015,0.0011284007176628565,0.03302873499944952,0.00306492272563578,0.0008517016999965932,0.0016782747335738859,0.0051863857374392225,0.001475441279896129,0.0,0.0008958646885974342,0.0,0.0,0.0013784389179254495,0.0019506781857825904,0.0013448904250526188,0.00453021654435082,0.0,0.0008651941062977478
CD4+NFAT2+pLCK+,0.0,0.0008184243694040233,0.007132898874947315,0.0011284007176628565,0.0,0.0,0.0,0.0016782747335738859,0.0051863857374392225,0.0,0.0,0.0008958646885974342,0.0,0.0,0.0,0.0028176462683526305,0.0006724452125263094,0.0007550360907251367,0.0,0.0
CD4+PD1+,0.010884156296484418,0.004092121847020117,0.08429789579483189,0.007898805023639996,0.0366985944438328,0.0655127232604648,0.06898783769972405,0.010069648401443317,0.08860075634792004,0.0,0.004401021036880556,0.2714470006450226,0.007359018193757288,0.05972645284596548,0.01171673080236632,0.026876010559671246,0.018828465950736666,0.7988281839871946,0.021903187909440274,0.011247523381870723
CD4+CD103+,0.04353662518593767,0.06601956579859122,1.0842006289919917,0.012412407894291419,0.8110389372087049,1.1884237868652736,0.6047082069975812,0.07048753881010321,2.353322528363047,0.11951074367158644,0.07921837866385001,0.4810793377768222,0.017548428000498148,0.35596965896195426,0.014933088277525701,0.05787011951155018,0.11700546697957784,6.054634411524871,0.05774476812488799,0.026821017295230183
CD8+Ki67+,0.005442078148242209,0.003000889354481419,0.009726680284019065,0.0,0.0,0.016090844309587845,0.004258508499982966,0.0,0.0030253916801728795,0.008360833919411398,0.0,0.022396617214935858,0.006792939871160575,0.026279639252224807,0.00298661765550514,0.006719002639917811,0.01210401382547357,0.21141010540303828,0.007964795603432828,0.0
CD8+pSTAT3+,0.019047273518847732,0.006274586832097512,0.009078234931751127,0.002256801435325713,0.01100957833314984,0.019155767035223627,0.004258508499982966,0.0033565494671477718,0.0030253916801728795,0.014262599038995913,0.0029340140245870372,0.0062710528201820395,0.01018940980674086,0.004778116227677239,0.0018379185572339326,0.014088231341763152,0.0026897808501052376,0.05436259853220984,0.0,0.0
