,NU00295,NU00429,NU00431,NU00468,NU00759,NU00826,NU00866,NU00908,NU01094,NU01115,NU01405,NU01420,NU01482,NU01713,NU01798,NU01929,NU02064,NU02359,NU02514,NU02738
CD4+pLCK+ 100-200,0,2,0,0,4,14,0,13,24,1,0,0,0,0,3,9,17,287,1,1
CD4+pLCK+ 200-300,0,1,1,0,0,0,0,4,14,1,0,0,0,0,0,9,10,230,0,0
CD4+pLCK+ 300-400,0,2,0,0,0,0,0,2,9,1,0,2,3,0,5,12,10,216,0,0
CD4+pLCK+ 400-500,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,3,12,140,1,0
CD4+NFAT1+pLCK+ 0-100,1,0,0,0,0,3,0,0,3,3,0,0,0,0,3,1,0,0,0,0
CD4+NFAT1+pLCK+ 100-200,0,1,0,0,2,4,0,0,3,0,0,0,0,0,1,1,0,1,0,1
CD4+NFAT1+pLCK+ 200-300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0
CD4+NFAT1+pLCK+ 300-400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0
CD4+NFAT1+pLCK+ 400-500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
CD4+NFAT2+pLCK+ 0-100,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0
CD4+NFAT2+pLCK+ 100-200,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0
CD4+NFAT2+pLCK+ 200-300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CD4+NFAT2+pLCK+ 300-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
CD4+NFAT2+pLCK+ 400-500,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CD4+PD1+ 0-100,6,0,0,0,0,125,0,1,120,0,0,12,1,3,30,7,5,171,1,4
CD4+PD1+ 100-200,0,1,0,0,2,23,0,0,35,0,2,28,0,0,11,4,1,171,0,3
CD4+PD1+ 200-300,0,2,1,0,0,1,1,0,9,0,0,17,0,0,1,10,3,152,2,1
CD4+PD1+ 300-400,0,1,1,0,0,2,0,1,13,0,0,26,4,7,8,9,3,137,1,2
CD4+PD1+ 400-500,0,0,2,3,1,0,2,0,8,0,0,26,1,4,1,8,3,96,2,1
CD4+CD103+ 0-100,27,1,7,0,2,1516,1,15,3046,119,6,22,1,8,34,16,45,1154,1,4
CD4+CD103+ 100-200,3,10,14,0,12,340,3,13,759,65,17,45,1,24,15,16,23,1425,4,6
CD4+CD103+ 200-300,0,18,29,0,5,77,0,6,301,23,3,30,3,16,2,16,23,1212,0,4
CD4+CD103+ 300-400,0,21,30,1,7,23,3,3,208,6,2,43,4,12,8,15,13,967,2,6
CD4+CD103+ 400-500,0,13,38,2,8,4,7,0,159,7,1,35,4,18,4,13,16,600,4,3
CD8+Ki67+ 0-100,3,1,1,0,0,28,0,0,3,10,0,0,1,1,5,1,0,42,0,0
CD8+Ki67+ 100-200,0,2,0,0,0,6,0,0,3,4,0,1,0,0,6,5,5,45,0,0
CD8+Ki67+ 200-300,0,2,0,0,0,0,0,0,1,1,0,1,2,1,0,6,4,45,0,0
CD8+Ki67+ 300-400,0,1,0,0,0,0,0,0,0,0,0,4,1,2,2,3,5,36,1,0
CD8+Ki67+ 400-500,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1,2,29,0,0
CD8+pSTAT3+ 0-100,9,1,0,0,0,31,0,0,4,15,0,3,1,0,5,1,0,8,0,0
CD8+pSTAT3+ 100-200,0,6,0,0,2,12,0,0,1,9,0,0,2,0,1,2,0,12,0,0
CD8+pSTAT3+ 200-300,0,3,0,0,0,1,0,0,0,2,0,1,2,0,0,3,0,9,0,0
CD8+pSTAT3+ 300-400,0,2,0,0,0,0,0,0,0,1,0,0,3,0,2,5,1,10,0,0
CD8+pSTAT3+ 400-500,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,0,0
CD8+cCasp3+ 0-100,5,0,0,0,0,34,0,0,7,17,2,2,1,0,4,2,0,10,0,0
CD8+cCasp3+ 100-200,0,5,0,0,2,11,0,1,0,10,0,0,0,0,2,2,1,12,0,0
CD8+cCasp3+ 200-300,0,5,0,0,0,1,0,1,0,3,0,0,1,1,0,1,0,7,0,0
CD8+cCasp3+ 300-400,0,3,0,0,0,0,0,0,0,0,0,0,3,0,2,3,1,11,0,0
CD8+cCasp3+ 400-500,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,1,7,0,0
CD8+FOXP3+ 0-100,0,0,0,0,0,23,0,0,1,1,0,0,0,0,2,1,0,3,0,0
CD8+FOXP3+ 100-200,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0
CD8+FOXP3+ 200-300,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
